"","gender","agecohort","indivincome","evalincome"
"86","male","ar30",225,3
"87","male","ar60",500,5
"88","male","ar50",425,3
"89","female","ar40",137.5,1
"90","female","ar50",600,5
"91","male","ar60",425,5
"92","male","ar40",700,7
"93","female","ar40",500,7
"94","male","ar40",600,4
"95","male","ar40",700,7
"96","female","ar60",175,3
"97","male","ar50",600,6
"98","female","ar60",325,4
"99","female","ar50",13,6
"100","male","ar50",600,4
"101","female","ar50",175,4
"102","male","ar50",600,6
"103","female","ar60",425,6
"104","female","ar40",375,4
"105","female","ar50",600,3
"106","male","ar40",425,5
"107","female","ar50",13,7
"108","female","ar30",137.5,5
"109","female","ar40",37.5,4
"110","female","ar50",375,5
"111","female","ar30",112.5,4
"112","male","ar60",800,4
"113","male","ar30",87.5,4
"114","female","ar60",13,1
"115","male","ar40",600,6
"116","female","ar30",37.5,3
"117","male","ar30",375,6
"118","male","ar50",700,7
"119","male","ar30",425,6
"120","female","ar30",225,4
"121","female","ar50",137.5,1
"122","female","ar50",87.5,6
"123","male","ar60",4500,2
"124","female","ar40",37.5,2
"125","male","ar60",425,4
"126","female","ar50",87.5,4
"127","female","ar60",137.5,2
"128","male","ar30",700,7
"129","male","ar60",700,6
"130","female","ar50",275,4
"131","male","ar30",425,4
"132","male","ar40",700,6
"133","male","ar60",700,5
"134","female","ar50",425,6
"135","male","ar30",275,2
"136","female","ar30",112.5,5
"137","male","ar60",87.5,1
"138","female","ar40",175,2
"139","female","ar60",175,8
"140","female","ar30",87.5,3
"141","female","ar40",225,2
"142","male","ar30",700,7
"143","female","ar30",112.5,3
"144","male","ar50",500,5
"145","female","ar60",425,3
"146","female","ar50",225,7
"147","male","ar30",500,5
"148","male","ar60",800,6
"149","female","ar50",375,6
"150","female","ar30",325,5
"151","male","ar50",1000,7
"152","female","ar40",500,7
"153","female","ar50",1200,4
"154","female","ar40",137.5,6
"155","male","ar60",1500,6
"156","male","ar40",500,4
"157","male","ar40",500,6
"158","male","ar60",425,6
"159","female","ar60",375,3
"160","female","ar30",13,2
"161","female","ar60",37.5,2
"162","male","ar30",225,3
"163","female","ar50",87.5,7
"164","female","ar50",325,5
"165","male","ar40",500,5
"166","female","ar60",87.5,4
"167","female","ar60",13,6
"168","female","ar30",225,6
"169","female","ar60",137.5,6
"170","male","ar30",375,3
"171","male","ar60",137.5,3
"172","male","ar50",600,6
"173","female","ar50",87.5,4
"174","female","ar40",87.5,3
"175","female","ar50",700,8
"176","female","ar60",87.5,6
"177","female","ar30",275,4
"178","male","ar50",800,6
"179","female","ar40",275,4
"180","female","ar30",87.5,5
"181","female","ar60",87.5,7
"182","male","ar50",800,6
"183","female","ar60",13,3
"184","female","ar50",700,6
"185","female","ar30",37.5,4
"186","male","ar40",375,5
"187","male","ar30",500,5
"188","female","ar50",175,6
"189","female","ar60",62.5,8
"190","female","ar50",800,4
"191","male","ar60",325,2
"192","male","ar30",500,6
"193","female","ar40",112.5,3
"194","female","ar60",175,5
"195","male","ar40",425,4
"196","male","ar40",275,5
"197","male","ar40",13,3
"198","male","ar30",225,4
"199","male","ar40",600,6
"200","female","ar60",375,4
"201","male","ar60",175,4
"202","female","ar50",37.5,3
"203","male","ar50",375,4
"204","female","ar50",112.5,2
"205","female","ar60",275,5
"206","female","ar50",900,7
"207","female","ar30",225,4
"208","male","ar40",700,6
"209","male","ar50",700,7
"210","female","ar30",325,5
"211","female","ar40",37.5,6
"212","female","ar50",62.5,3
"213","female","ar50",62.5,6
"214","male","ar50",175,3
"215","male","ar40",375,3
"216","female","ar40",112.5,4
"217","female","ar40",62.5,8
"218","male","ar40",325,3
"219","male","ar60",600,6
"220","female","ar60",600,7
"221","male","ar50",700,6
"222","female","ar60",62.5,3
"223","male","ar40",13,3
"224","female","ar30",225,3
"225","male","ar50",175,2
"226","male","ar30",137.5,7
"227","male","ar60",500,8
"228","male","ar60",325,6
"229","female","ar50",325,7
"230","male","ar40",600,6
"231","female","ar30",13,4
"232","male","ar30",225,5
"233","female","ar40",112.5,3
"234","male","ar30",700,7
"235","male","ar60",2000,8
"236","female","ar40",175,4
"237","female","ar60",225,7
"238","female","ar60",112.5,6
"239","female","ar50",225,3
"240","male","ar50",1000,8
"241","male","ar50",500,4
"242","male","ar60",600,6
"243","male","ar50",700,6
"244","female","ar40",87.5,8
"245","male","ar40",425,4
"246","male","ar40",600,5
"247","male","ar30",275,5
"248","male","ar30",225,4
"249","female","ar30",87.5,1
"250","male","ar30",600,7
"251","female","ar40",137.5,3
"252","female","ar30",500,5
"253","male","ar30",225,3
"254","female","ar40",112.5,2
"255","female","ar60",2750,6
"256","female","ar60",37.5,3
"257","male","ar30",275,3
"258","female","ar40",275,3
"259","female","ar60",500,6
"260","male","ar30",375,6
"261","female","ar30",175,5
"262","male","ar30",800,5
"263","male","ar50",225,3
"264","male","ar40",600,6
"265","male","ar50",900,7
"266","male","ar40",325,4
"267","male","ar40",425,4
"268","male","ar60",175,2
"269","male","ar40",500,4
"270","male","ar30",500,5
"271","male","ar60",600,8
"272","female","ar30",175,3
"273","female","ar60",112.5,5
"274","male","ar40",13,4
"275","male","ar60",325,4
"276","male","ar40",500,5
"277","male","ar60",175,3
"278","male","ar50",375,6
"279","male","ar50",800,6
"280","female","ar60",112.5,6
"281","female","ar50",275,5
"282","male","ar40",600,7
"283","male","ar60",225,4
"284","female","ar40",112.5,2
"285","female","ar30",325,4
"286","female","ar50",13,4
"287","female","ar60",175,3
"288","female","ar60",175,4
"289","female","ar60",325,5
"290","female","ar50",225,5
"291","female","ar60",87.5,6
"292","male","ar50",225,2
"293","female","ar50",225,5
"294","female","ar50",62.5,7
"295","male","ar40",800,7
"296","female","ar40",225,4
"297","female","ar60",137.5,1
"298","female","ar40",112.5,3
"299","female","ar40",13,1
"300","male","ar40",800,8
"301","female","ar40",13,4
"302","male","ar50",800,5
"303","female","ar40",275,5
"304","female","ar60",375,7
"305","female","ar40",500,6
"306","female","ar50",500,6
"307","male","ar60",112.5,7
"308","female","ar30",175,5
"309","female","ar30",375,7
"310","male","ar60",500,5
"311","female","ar40",37.5,3
"312","female","ar40",275,6
"313","female","ar40",275,2
"314","male","ar40",425,3
"315","male","ar30",375,3
"316","female","ar50",112.5,1
"317","female","ar50",137.5,6
"318","female","ar60",175,6
"319","male","ar50",325,4
"320","male","ar40",425,4
"321","female","ar40",425,5
"322","female","ar30",87.5,1
"323","male","ar40",325,4
"324","male","ar60",1700,8
"325","male","ar40",700,6
"326","male","ar30",325,4
"327","female","ar40",112.5,6
"328","female","ar40",425,6
"329","female","ar50",275,2
"330","female","ar50",87.5,2
"331","male","ar60",1500,8
"332","female","ar50",225,4
"333","female","ar30",275,4
"334","male","ar60",225,6
"335","male","ar30",325,3
"336","female","ar30",62.5,3
"337","male","ar50",500,6
"338","female","ar40",225,3
"339","female","ar60",87.5,5
"340","male","ar60",700,5
"341","male","ar40",500,5
"342","male","ar60",1000,7
"343","female","ar40",600,3
"344","male","ar50",425,4
"345","male","ar50",375,6
"346","female","ar60",87.5,6
"347","male","ar50",600,6
"348","male","ar40",700,6
"349","male","ar60",275,2
"350","male","ar40",700,6
"351","female","ar40",112.5,3
"352","male","ar60",900,4
"353","female","ar60",112.5,5
"354","male","ar50",900,5
"355","female","ar40",112.5,4
"356","male","ar50",225,4
"357","female","ar40",87.5,3
"358","female","ar40",137.5,4
"359","female","ar50",62.5,7
"360","female","ar30",112.5,8
"361","male","ar60",700,7
"362","female","ar50",375,4
"363","male","ar30",425,7
"364","female","ar40",87.5,3
"365","female","ar40",137.5,3
"366","male","ar60",600,3
"367","male","ar50",800,7
"368","male","ar60",2275,8
"369","female","ar60",325,4
"370","male","ar60",375,4
"371","female","ar60",137.5,4
"372","male","ar40",600,6
"373","male","ar40",325,5
"374","male","ar50",275,3
"375","female","ar40",425,5
"376","male","ar60",275,6
"377","male","ar40",375,5
"378","female","ar40",325,4
"379","male","ar30",225,5
"380","male","ar60",225,4
"381","female","ar60",112.5,5
"382","female","ar40",600,7
"383","male","ar50",325,3
"384","female","ar60",87.5,2
"385","male","ar50",325,4
"386","female","ar40",175,5
"387","female","ar60",175,6
"388","female","ar60",13,3
"389","male","ar40",425,5
"390","female","ar50",87.5,1
"391","female","ar50",87.5,1
"392","female","ar40",500,6
"393","male","ar50",137.5,2
"394","female","ar40",137.5,2
"395","male","ar50",425,4
"396","female","ar60",425,4
"397","female","ar60",500,7
"398","female","ar50",87.5,2
"399","female","ar50",112.5,2
"400","female","ar50",175,7
"401","male","ar40",375,5
"402","female","ar60",62.5,6
"403","male","ar30",225,2
"404","female","ar50",87.5,6
"405","female","ar60",275,6
"406","female","ar60",600,5
"407","male","ar40",600,6
"408","male","ar60",325,3
"409","female","ar50",87.5,3
"410","male","ar50",700,4
"411","female","ar40",500,5
"412","female","ar40",175,3
"413","male","ar60",325,4
"414","male","ar50",275,6
"415","female","ar50",500,6
"416","male","ar60",225,4
"417","male","ar50",425,5
"418","female","ar60",275,3
"419","female","ar40",500,8
"420","female","ar50",325,3
"421","female","ar60",87.5,5
"422","female","ar40",175,3
"423","male","ar60",900,6
"424","male","ar60",225,4
"425","male","ar30",325,4
"426","female","ar50",112.5,2
"427","male","ar50",800,8
"428","female","ar40",112.5,6
"429","male","ar40",600,4
"430","female","ar30",175,4
"431","female","ar30",13,3
"432","female","ar60",62.5,6
"433","male","ar60",425,4
"434","female","ar40",225,3
"435","male","ar50",325,5
"436","male","ar50",87.5,4
"437","male","ar50",87.5,2
"438","male","ar50",500,6
"439","female","ar60",87.5,4
"440","male","ar40",500,4
"441","male","ar60",1600,6
"442","female","ar30",275,3
"443","male","ar40",600,5
"444","male","ar40",800,6
"445","male","ar60",425,5
"446","male","ar50",700,5
"447","male","ar40",600,7
"448","male","ar40",800,7
"449","male","ar60",700,7
"450","female","ar60",112.5,1
"451","male","ar60",800,3
"452","male","ar40",13,6
"453","male","ar30",275,5
"454","male","ar50",1100,7
"455","male","ar50",1400,7
"456","female","ar50",500,6
"457","female","ar60",137.5,3
"458","female","ar30",375,7
"459","female","ar40",87.5,3
"460","female","ar30",325,5
"461","female","ar50",62.5,2
"462","male","ar40",600,6
"463","male","ar50",1900,7
"464","female","ar60",87.5,3
"465","male","ar60",3500,6
"466","male","ar40",375,4
"467","female","ar60",37.5,5
"468","female","ar60",137.5,7
"469","male","ar50",700,4
"470","male","ar60",225,2
"471","male","ar50",225,6
"472","female","ar50",87.5,4
"473","female","ar30",137.5,3
"474","male","ar60",425,3
"475","male","ar50",700,7
"476","male","ar60",1000,8
"477","male","ar60",600,5
"478","female","ar40",225,3
"479","female","ar60",62.5,6
"480","male","ar50",600,4
"481","female","ar60",112.5,2
"482","male","ar30",325,3
"483","male","ar60",137.5,2
"484","male","ar30",500,5
"485","male","ar40",325,3
"486","female","ar60",87.5,4
"487","female","ar30",225,3
"488","female","ar60",175,2
"489","female","ar40",225,7
"490","male","ar50",600,4
"491","male","ar40",700,7
"492","male","ar40",700,6
"493","male","ar50",425,6
"494","male","ar50",800,7
"495","male","ar40",425,4
"496","male","ar50",425,4
"497","male","ar40",375,5
"498","male","ar50",275,4
"499","male","ar60",275,3
"500","male","ar60",112.5,4
"501","female","ar50",175,1
"502","female","ar30",37.5,4
"503","male","ar60",225,6
"504","male","ar40",275,4
"505","female","ar60",13,6
"506","female","ar30",13,1
"507","male","ar40",500,6
"508","female","ar60",175,5
"509","female","ar50",175,3
"510","female","ar60",225,2
"511","male","ar40",325,6
"512","male","ar40",275,3
"513","female","ar50",425,3
"514","female","ar60",112.5,5
"515","male","ar30",325,3
"516","female","ar50",87.5,3
"517","female","ar60",175,4
"518","male","ar60",325,5
"519","female","ar50",87.5,3
"520","male","ar60",325,7
"521","female","ar50",275,4
"522","female","ar60",112.5,5
"523","male","ar50",425,4
"524","male","ar30",375,4
"525","male","ar40",375,6
"526","female","ar40",325,5
"527","male","ar60",425,6
"528","female","ar60",62.5,4
"529","female","ar50",225,4
"530","female","ar50",112.5,5
"531","male","ar50",1300,8
"532","male","ar40",600,5
"533","male","ar40",600,8
"534","male","ar50",600,6
"535","female","ar30",13,1
"536","male","ar50",1000,3
"537","female","ar30",325,4
"538","female","ar40",600,5
"539","male","ar30",275,2
"540","female","ar30",112.5,2
"541","female","ar50",600,6
"542","female","ar50",87.5,2
"543","male","ar60",225,4
"544","male","ar60",225,4
"545","female","ar50",375,4
"546","female","ar60",62.5,1
"547","female","ar40",87.5,6
"548","male","ar50",275,5
"549","female","ar50",325,5
"550","female","ar50",600,5
"551","female","ar30",225,3
"552","male","ar40",1200,8
"553","male","ar60",175,4
"554","female","ar40",112.5,4
"555","male","ar60",425,3
"556","female","ar40",87.5,6
"557","female","ar30",112.5,2
"558","male","ar40",325,4
"559","male","ar40",500,6
"560","female","ar40",112.5,7
"561","female","ar40",62.5,5
"562","female","ar50",87.5,7
"563","male","ar40",500,5
"564","male","ar60",600,4
"565","male","ar50",500,4
"566","female","ar50",225,4
"567","female","ar50",600,4
"568","male","ar50",900,5
"569","male","ar40",137.5,5
"570","female","ar60",137.5,5
"571","male","ar30",500,7
"572","male","ar30",375,5
"573","female","ar60",37.5,2
"574","male","ar50",1500,5
"575","female","ar50",112.5,4
"576","female","ar40",62.5,2
"577","male","ar50",500,7
"578","male","ar30",325,6
"579","female","ar50",325,5
"580","female","ar50",500,7
"581","female","ar50",425,4
"582","male","ar40",13,5
"583","female","ar50",275,6
"584","male","ar50",500,6
"585","male","ar50",137.5,3
"586","female","ar50",500,6
"587","male","ar50",225,2
"588","female","ar60",325,5
"589","female","ar50",137.5,3
"590","female","ar30",62.5,6
"591","female","ar30",225,3
"592","female","ar60",112.5,5
"593","male","ar40",137.5,4
"594","male","ar40",275,4
"595","male","ar50",500,4
"596","female","ar30",13,1
"597","female","ar40",175,4
"598","male","ar60",225,7
"599","female","ar60",37.5,4
"600","female","ar50",600,3
"601","female","ar50",375,5
"602","male","ar50",800,8
"603","female","ar50",87.5,4
"604","male","ar30",375,5
"605","female","ar60",87.5,6
"606","male","ar30",425,6
"607","male","ar60",700,6
"608","female","ar40",500,6
"609","female","ar30",13,3
"610","female","ar40",13,4
"611","female","ar40",175,1
"612","male","ar40",325,6
"613","male","ar50",1000,7
"614","male","ar40",425,5
"615","male","ar50",325,4
"616","male","ar60",175,3
"617","male","ar60",87.5,1
"618","male","ar60",425,5
"619","male","ar40",500,4
"620","female","ar60",62.5,7
"621","female","ar40",137.5,7
"622","male","ar50",500,5
"623","male","ar50",800,6
"624","male","ar60",137.5,4
"625","male","ar40",275,4
"626","female","ar60",62.5,2
"627","female","ar60",62.5,6
"628","female","ar60",175,6
"629","female","ar50",225,8
"630","male","ar60",175,4
"631","female","ar60",1400,5
"632","male","ar40",225,2
"633","female","ar40",225,4
"634","male","ar50",1100,7
"635","female","ar50",1000,8
"636","male","ar40",800,7
"637","female","ar40",13,3
"638","male","ar60",375,2
"639","male","ar30",275,5
"640","male","ar30",175,4
"641","male","ar50",700,6
"642","male","ar60",375,7
"643","male","ar30",225,3
"644","female","ar50",87.5,3
"645","male","ar30",13,3
"646","female","ar50",425,5
"647","female","ar60",62.5,6
"648","female","ar40",37.5,4
"649","male","ar40",700,6
"650","male","ar30",375,7
"651","female","ar30",13,3
"652","male","ar50",1200,6
"653","male","ar50",700,5
"654","female","ar40",275,1
"655","female","ar30",275,6
"656","male","ar30",600,7
"657","female","ar60",137.5,6
"658","male","ar30",275,5
"659","female","ar50",375,7
"660","female","ar30",87.5,5
"661","female","ar50",112.5,6
"662","male","ar30",175,4
"663","female","ar30",225,3
"664","female","ar60",13,2
"665","female","ar50",175,2
"666","male","ar50",700,6
"667","male","ar60",375,5
"668","female","ar50",112.5,3
"669","male","ar50",800,8
"670","male","ar60",375,5
"671","male","ar30",375,3
"672","female","ar60",137.5,6
"673","male","ar30",375,4
"674","male","ar60",425,7
"675","female","ar50",500,5
"676","male","ar50",1100,8
"677","male","ar40",500,3
"678","female","ar60",13,3
"679","male","ar40",375,3
"680","female","ar40",175,3
"681","male","ar40",800,5
"682","female","ar50",112.5,3
"683","female","ar30",275,6
"684","male","ar50",600,6
"685","male","ar50",900,8
"686","female","ar60",225,3
"687","female","ar30",325,6
"688","male","ar30",500,6
"689","male","ar50",700,6
"690","female","ar40",87.5,4
"691","male","ar40",375,6
"692","female","ar30",13,5
"693","female","ar40",275,7
"694","male","ar40",600,4
"695","female","ar50",600,8
"696","female","ar40",87.5,2
"697","female","ar60",500,5
"698","male","ar30",225,4
"699","female","ar60",425,5
"700","male","ar60",275,1
"701","female","ar50",62.5,2
"702","female","ar60",87.5,5
"703","female","ar60",37.5,1
"704","male","ar60",375,5
"705","female","ar60",225,5
"706","male","ar40",1100,8
"707","female","ar40",600,3
"708","male","ar30",325,5
"709","male","ar50",425,2
"710","male","ar60",275,3
"711","female","ar60",1000,7
"712","female","ar40",225,4
"713","male","ar40",425,4
"714","male","ar50",1500,5
"715","female","ar40",500,7
"716","female","ar30",112.5,3
"717","male","ar30",325,2
"718","male","ar50",500,6
"719","male","ar60",500,6
"720","female","ar40",87.5,6
"721","male","ar30",13,1
"722","male","ar50",500,5
"723","male","ar50",500,4
"724","male","ar40",375,3
"725","female","ar60",500,5
"726","female","ar30",175,5
"727","male","ar30",325,4
"728","female","ar30",275,6
"729","male","ar50",800,5
"730","male","ar40",500,3
"731","male","ar50",175,4
"732","male","ar40",500,6
"733","male","ar60",425,4
"734","male","ar30",375,5
"735","male","ar50",500,6
"736","male","ar60",500,6
"737","female","ar60",112.5,2
"738","male","ar30",325,3
"739","male","ar30",175,4
"740","male","ar30",37.5,2
"741","male","ar60",137.5,1
"742","male","ar50",425,5
"743","female","ar50",225,7
"744","female","ar50",112.5,2
"745","male","ar60",1000,7
"746","male","ar40",425,6
"747","female","ar30",175,3
"748","female","ar30",275,3
"749","female","ar50",325,4
"750","female","ar50",112.5,6
"751","female","ar40",275,5
"752","male","ar40",700,7
"753","male","ar50",325,4
"754","female","ar30",13,5
"755","male","ar60",500,7
"756","female","ar30",225,5
"757","female","ar60",137.5,3
"758","male","ar30",325,4
"759","female","ar60",87.5,5
"760","male","ar60",600,5
"761","male","ar50",1100,8
"762","male","ar40",375,6
"763","male","ar50",900,4
"764","male","ar50",600,6
"765","female","ar50",112.5,3
"766","male","ar60",425,3
"767","male","ar60",112.5,3
"768","male","ar60",275,1
"769","female","ar40",112.5,1
"770","male","ar40",137.5,3
"771","male","ar60",425,4
"772","male","ar60",700,6
"773","female","ar40",225,2
"774","female","ar60",87.5,3
"775","male","ar50",500,4
"776","male","ar60",375,4
"777","male","ar50",500,5
"778","male","ar50",500,5
"779","female","ar50",175,4
"780","male","ar50",600,7
"781","female","ar40",275,3
"782","female","ar40",375,5
"783","female","ar60",375,6
"784","male","ar60",700,5
"785","male","ar60",500,4
"786","female","ar30",37.5,6
"787","male","ar60",700,4
"788","female","ar30",175,4
"789","female","ar50",112.5,8
"790","male","ar30",375,3
"791","female","ar30",325,5
"792","male","ar60",425,5
"793","male","ar50",2000,7
"794","male","ar40",700,6
"795","female","ar50",375,6
"796","male","ar40",600,6
"797","male","ar30",425,6
"798","male","ar50",325,2
"799","female","ar50",13,7
"800","female","ar50",137.5,6
"801","female","ar60",112.5,5
"802","male","ar40",375,4
"803","male","ar30",175,4
"804","male","ar30",700,6
"805","female","ar50",112.5,6
"806","female","ar40",62.5,3
"807","male","ar50",900,5
"808","female","ar40",375,5
"809","female","ar60",13,1
"810","male","ar30",175,3
"811","male","ar60",375,6
"812","female","ar30",13,1
"813","female","ar50",175,1
"814","female","ar50",112.5,4
"815","female","ar60",325,5
"816","female","ar60",87.5,3
"817","male","ar40",375,3
"818","male","ar40",700,4
"819","female","ar50",800,8
"820","female","ar30",87.5,5
"821","female","ar50",137.5,2
"822","male","ar60",425,5
"823","male","ar60",112.5,4
"824","male","ar50",425,6
"825","male","ar40",700,6
"826","female","ar50",87.5,2
"827","female","ar40",87.5,2
"828","female","ar40",325,5
"829","female","ar60",275,8
"830","female","ar40",37.5,3
"831","male","ar40",1000,7
"832","female","ar40",600,7
"833","male","ar40",500,5
"834","male","ar40",325,4
"835","female","ar60",137.5,6
"836","male","ar60",375,4
"837","female","ar60",112.5,5
"838","female","ar50",275,6
"839","male","ar60",375,4
"840","male","ar40",225,3
"841","male","ar50",325,3
"842","female","ar60",62.5,4
"843","male","ar40",600,8
"844","male","ar60",225,3
"845","female","ar40",137.5,3
"846","male","ar50",375,4
"847","male","ar60",375,3
"848","female","ar60",325,5
"849","female","ar50",87.5,6
"850","male","ar30",425,4
"851","male","ar60",500,8
"852","female","ar60",175,2
"853","male","ar60",425,6
"854","female","ar50",137.5,6
"855","female","ar30",175,10
"856","male","ar40",112.5,2
"857","female","ar50",375,7
"858","male","ar50",325,4
"859","female","ar40",425,4
"860","female","ar40",500,7
"861","female","ar30",112.5,5
"862","male","ar60",900,6
"863","female","ar60",112.5,3
"864","female","ar50",62.5,1
"865","female","ar40",175,4
"866","male","ar60",500,6
"867","male","ar40",225,3
"868","male","ar40",425,5
"869","male","ar30",13,3
"870","male","ar40",425,3
"871","male","ar60",175,3
"872","female","ar40",112.5,3
"873","female","ar60",325,5
"874","male","ar60",325,6
"875","male","ar60",175,4
"876","female","ar60",137.5,3
"877","male","ar40",600,7
"878","male","ar60",275,3
"879","male","ar40",175,3
"880","female","ar60",62.5,7
"881","female","ar50",87.5,3
"882","male","ar30",800,7
"883","female","ar30",500,6
"884","female","ar60",87.5,4
"885","male","ar50",275,3
"886","female","ar60",275,4
"887","male","ar60",325,3
"888","female","ar40",275,5
"889","male","ar30",325,4
"890","male","ar60",325,5
"891","male","ar60",800,6
"892","female","ar40",275,6
"893","male","ar30",425,6
"894","male","ar50",375,4
"895","male","ar50",225,4
"896","female","ar50",87.5,4
"897","female","ar60",62.5,1
"898","female","ar30",275,5
"899","male","ar60",112.5,1
"900","female","ar50",800,5
"901","female","ar40",62.5,1
"902","female","ar40",1400,4
"903","male","ar60",137.5,2
"904","female","ar50",500,4
"905","male","ar40",600,6
"906","female","ar40",225,5
"907","male","ar50",500,6
"908","male","ar50",37.5,2
"909","female","ar30",225,7
"910","female","ar40",87.5,7
"911","female","ar50",175,3
"912","male","ar30",600,7
"913","female","ar30",13,3
"914","male","ar40",375,2
"915","male","ar30",225,5
"916","male","ar50",1000,7
"917","male","ar40",275,2
"918","female","ar50",275,7
"919","male","ar50",425,5
"920","female","ar50",87.5,6
"921","male","ar30",500,7
"922","female","ar60",137.5,3
"923","female","ar60",87.5,2
"924","female","ar30",62.5,3
"925","female","ar60",137.5,5
"926","male","ar50",600,4
"927","male","ar60",425,4
"928","female","ar50",500,6
"929","female","ar40",87.5,3
"930","male","ar60",137.5,3
"931","male","ar60",225,5
"932","female","ar30",325,6
"933","male","ar40",500,4
"934","female","ar60",87.5,6
"935","male","ar60",137.5,2
"936","male","ar60",175,4
"937","male","ar30",175,3
"938","male","ar50",425,4
"939","male","ar60",225,3
"940","male","ar60",700,8
"941","female","ar60",62.5,3
"942","female","ar50",137.5,3
"943","female","ar60",175,5
"944","male","ar40",375,4
"945","female","ar50",112.5,4
"946","male","ar50",325,5
"947","female","ar50",225,3
"948","female","ar30",500,5
"949","female","ar40",375,5
"950","male","ar60",325,5
"951","male","ar40",375,5
"952","male","ar40",500,6
"953","female","ar30",225,6
"954","male","ar60",325,5
"955","female","ar50",425,6
"956","male","ar60",225,4
"957","male","ar40",275,3
"958","male","ar60",175,3
"959","female","ar40",325,5
"960","male","ar40",500,5
"961","female","ar30",175,3
"962","male","ar60",700,4
"963","female","ar40",62.5,4
"964","male","ar40",700,5
"965","male","ar50",600,6
"966","female","ar30",325,4
"967","male","ar40",600,4
"968","female","ar60",175,3
"969","female","ar60",87.5,4
"970","female","ar60",87.5,6
"971","female","ar60",13,7
"972","female","ar40",37.5,7
"973","female","ar40",87.5,6
"974","male","ar30",425,5
"975","male","ar30",375,4
"976","male","ar40",600,6
"977","female","ar50",225,7
"978","female","ar30",175,4
"979","male","ar40",500,6
"980","male","ar30",275,3
"981","female","ar60",13,7
"982","female","ar60",225,4
"983","male","ar30",225,4
"984","male","ar50",13,2
"985","male","ar40",175,2
"986","male","ar60",325,4
"987","male","ar40",800,8
"988","male","ar30",375,3
"989","male","ar50",900,8
"990","female","ar30",275,4
"991","male","ar30",175,3
"992","female","ar50",500,5
"993","female","ar60",225,4
"994","female","ar60",700,5
"995","female","ar40",112.5,2
"996","female","ar40",275,5
"997","male","ar60",1000,7
"998","female","ar50",175,3
"999","female","ar40",325,5
"1000","female","ar50",87.5,6
